sermon_id,title,subtitle,speaker,speaker_id,date,publish_date,bible_text,event_type,series,series_id,duration_seconds,download_count,more_info,language,keywords,has_audio,has_video,broadcaster_id,broadcaster_name,broadcaster_location,broadcaster_denomination,broadcaster_minister
417262137196129,2026-06-07 The Power of Place,The Faith Debate,Troy Skinner,54313,2026-06-07,2026-06-07,,Radio Broadcast,The Faith Debate,163388,1555,,"The Power of Place
Faith Debate: Sunday, June 7th, 2026
(06/14/26 on 930 WFMD in Frederick, Maryland)

Jon Harris is an author (""Social Justice Goes to Church"", ""Against the Waves"", etc.) and documentary producer (Last Stand Studios) on issues of evangelicalism, Americana, and culture wars. He's a columnist active on Substack & TruthScripit (which he co-founded), as well as a singer/songwriter. He's best known as host of ""Conversations That Matter"", first gaining notoriety for exposing the Social Justice Leftism infecting the Southern Baptist Convention & its seminaries (with clarity in defending the biblical gospel).

Dina Carole has been a media fixture for decades. Listeners might recognize her from her decades-long career in radio & TV up and down the eastern US (from New York to Florida), including her long tenure as ""The Voice of Frederick"" (having been a fixture on Maryland radio for years).

This panel has been assembled for a discussion on the very real importance of physical ""place"". When Troy and Dina moved to a new house, they left behind their home of a quarter century. The move was tough because to Troy the residence represented stability, security, and emotional safety. For Dina the impact of the move hit her differently, as she tends to look at people moving through different seasons of life. Therefore, she doesn't cling to things as a general rule. But some might wonder if this is a defense mechanism as they see her more easily moving on.

The panel:
Troy Skinner. Founder, Household of Faith in Christ
Dina Carole. Media personality (""The Voice of Frederick"")
Jon Harris. Founder, Jon Harris Media

www.householdoffaithinchrist.com",en,FaithDebate HouseholdofFaithinChrist TroySkinner DinaCarole JonHarris ConversationsThatMatter Place JonHarrisMedia LastStandStudios WFMD TruthScript,True,False,troyskinner,Household of Faith in Christ,"Frederick, Maryland",Independent Reformed,Troy Skinner
6426191731685,Where Does Faith Come From?,Heidelberg Catechism Devos,Rev. Jason Van Bemmel,5170,2026-06-05,2026-06-05,1 Thessalonians 1:4-5; Romans 10:17,Devotional,Heidelberg Catechism Devos,212667,1009,14,"Welcome to our Heidelberg Catechism devotionals! In this episode, Pastor Jason Van Bemmel of Forest Hill Presbyterian Church wraps up Week 22 by exploring Question #65.

If we are made right before God by faith alone, where does that saving faith actually come from? Pastor Jason unpacks how God doesn't just demand faith, but actively provides it.

In this episode, we cover:

The Source of Faith: How the Holy Spirit actively works faith into our hearts.

The Word and the Spirit: Why faith isn't generated by our own willpower, but is birthed through the preaching of the Gospel (Romans 10:17).

The Power of the Sacraments: How Baptism and the Lord's Supper serve as visible, tangible confirmations to strengthen the faith God has given us.

A Covenant Confirmation: Looking at how signs like circumcision and the Lord's Supper act as a seal of the righteousness we have by faith.

To learn more about our church, visit: foresthillpca.org",en,faith Sacraments Gospel Preaching,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
65262324323033,Episode 110 Basic Christianity: Application Ephesians 4:17-24,Anchored in the Word Season 5,Joel Porcher,16596,2026-06-05,2026-06-05,Ephesians 4:17-24,Podcast,Anchored in the Word Season 5,212860,293,10,Anchored in the Word Morning Reflection: Season 5 Episode 110 Basic Christianity: Application Ephesians 4:17-24 #morningreflections #churchlife #pastoralcare #growth #basics,en,morningreflections churchlife pastoralcare growth basics,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
6526135441835,Episode 109 Basic Christianity: Experience Ephesians 4:17-24,Anchored in the Word Season 5,Joel Porcher,16596,2026-06-05,2026-06-05,Ephesians 4:17-24,Podcast,Anchored in the Word Season 5,212860,382,10,Anchored in the Word Morning Reflection: Season 5 Episode 109 Basic Christianity: Experience Ephesians 4:17-24 #morningreflections #churchlife #pastoralcare #growth #basics,en,morningreflections churchlife pastoralcare growth basics,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
61261811123884,Thankful for God's People,Romans Devotionals 2026,Rev. Jason Van Bemmel,5170,2026-06-04,2026-06-04,Romans 16,Devotional,Romans Devotionals 2026,216682,946,8,"Welcome to the final episode of Exploring Romans! In this concluding devotional (Day 177), Pastor Jason Van Bemmel of Forest Hill Presbyterian Church walks us through Romans Chapter 16.

In this episode, we cover:

The Saints of Rome: Paul's extensive greetings highlight the many dedicated individuals who worked hard to support his ministry. This demonstrates that the vital work of the church relies on every member contributing.

Women in the Early Church: Pastor Jason emphasizes the prominent service of women in the early church, such as Phoebe, Prisca, Mary, and Junia. He addresses the specific translation regarding Junia, clarifying that she was well-known to the apostles, rather than being a female apostle herself. He also cautions against forcing egalitarian theology into the text.

Warnings Against Division: The episode explores Paul's strong warning against egotistical people who use smooth talk and flattery to create obstacles and divisions. These individuals serve their own appetites instead of serving Christ.

The Final Doxology: The letter concludes with a powerful benediction praising the eternal God who strengthens believers through the gospel of Jesus Christ.

These devotionals were originally presented as part of ""Walking with Jesus through the Bible,"" a three-year journey through the whole Word of God (2022–2024).

🌐 Learn more about our church: ForestHillPCA.org
✉️ Questions or feedback? Email Pastor Jason at: Pastor@ForestHillPCA.org",en,,True,True,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
64262055235238,Episode 108 Basic Christianity: Transformed Ephesians 4:17-24,Anchored in the Word Season 5,Joel Porcher,16596,2026-06-04,2026-06-04,Ephesians 4:17-24,Podcast,Anchored in the Word Season 5,212860,258,6,Anchored in the Word Morning Reflection: Season 5 Episode 108 Basic Christianity: Transformed Ephesians 4:17-24 #morningreflections #churchlife #pastoralcare #growth #basics,en,morningreflections churchlife pastoralcare growth basics,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
64261154401657,Episode 107 Basic Christianity: Empty Ephesians 4:17-24,Anchored in the Word Season 5,Joel Porcher,16596,2026-06-04,2026-06-04,Ephesians 4:17-24,Podcast,Anchored in the Word Season 5,212860,458,4,Anchored in the Word Morning Reflection: Season 5 Episode 107 Basic Christianity: Empty Ephesians 4:17-24 #morningreflections #churchlife #pastoralcare #growth #basics,en,morningreflections churchlife pastoralcare growth basics,True,True,anchorsermons,Anchor Baptist Church,"Millersville, Maryland",Independent Baptist,Pastor Joel Porcher
61261755324362,Works of Gratitude,Heidelberg Catechism Devos,Rev. Jason Van Bemmel,5170,2026-06-03,2026-06-03,,Devotional,Heidelberg Catechism Devos,212667,596,11,"In this Heidelberg Catechism Devotional, Pastor Jason Van Bemmel of Forest Hill Presbyterian Church explores Question #64.

If salvation is completely by grace, doesn't that make people careless and wicked? Pastor Jason answers this age-old question by delving into the nature of true, living faith. He unpacks why true faith cannot be dead and must produce the fruit of thankfulness, and why it is so much more than mere knowledge or agreement—it's active trust in Jesus Christ.

In this episode, we cover:

The transition from Grace to Gratitude in the Heidelberg Catechism

The true nature of saving faith: Knowledge, Assent, and Trust

The contrast between a ""diseased tree"" and a ""healthy tree"" in the life of a believer

To learn more about our church, visit: foresthillpca.org",en,,True,False,foresthillpca,Forest Hill Presbyterian Church,"Forest Hill, Maryland",PCA,Jason A Van Bemmel
63262359164034,"Who is the Lord, part 3",Moses,Dr. Dennis Leatherman,10920,2026-06-03,2026-06-04,Exodus 5:2-9,Midweek Service,Moses,205721,2787,7,,en,,True,False,mlibc,Mountain Lake Independent Baptist Church,"Oakland, Maryland",Independent Baptist,Dr. Dennis Leatherman
64260529871,From Sinner to Saint,Ephesians,Pastor Caleb E. Bottrell,19107,2026-06-03,2026-06-04,Ephesians 2:1-10,Midweek Service,Ephesians,216769,2117,5,"Ephesians 2:1–10 presents a profound transformation from spiritual death to divine life, revealing the universal condition of humanity as dead in trespasses and sins, enslaved to the world's corrupt systems, dominated by Satan, and driven by the flesh's self-centered desires, all under God's righteous wrath. Yet, at the heart of this sobering diagnosis stands the pivotal hinge of grace: 'But God,' whose mercy and love, not human merit, initiate salvation through faith, raising the dead in Christ to new life and seating them in heavenly places to display His eternal grace. This salvation is entirely by grace, not works, to prevent boasting, and it is designed not for idle existence but for purposeful good works, which God preordained for believers to walk in, reflecting their identity as His masterful creation, redeemed for a divine mission.",en,,True,True,huntvalleybaptist,Hunt Valley Baptist Church,"Hunt Valley, MD",Baptist,Pastor Caleb E. Bottrell
